gene,slope_z,r,p,n_cells_expr,biotype
Cltc,0.0623130470336778,0.0586120718553303,1.1069436820852704e-48,62483,protein-coding
Dhx40,-0.0031119255708759,-0.0031635452604459,0.6235501940230398,24074,protein-coding
Ypel2,0.0443596074787498,0.0334347909484914,0.0006290867081169,10452,protein-coding
Gdpd1,0.0926037707291002,0.0624610888214683,4.5751812724002275e-09,8793,protein-coding
Prr11,-0.0039718673608347,-0.009171263207684,0.5499262682770655,4252,protein-coding
Trim37,0.1550298614511282,0.149910458604624,6.990419685109099e-74,14549,protein-coding
Ppm1e,0.0301082617219049,0.0310056373349677,0.2839844260990148,1196,protein-coding
Rad51c,0.0140066946115298,0.0205279645581126,0.3113728464310134,2434,protein-coding
Tex14,0.0231505852190601,0.0219888354492459,0.6447731672342972,442,protein-coding
Mtmr4,0.0193869236902154,0.0179940691932164,0.0514983179622533,11712,protein-coding
Hsf5,0.0777569440367821,0.0931219066015718,0.0595766763815253,410,protein-coding
Rnf43,-0.0306736427589079,-0.0402632142016266,0.0305457617387895,2886,protein-coding
Mpo,-0.0109394244647344,-0.0239246570540475,0.0052723418061032,13597,protein-coding
Lpo,-0.0727899307478222,-0.0667671408283178,0.3029622230190666,240,protein-coding
Mks1,0.0269624070755829,0.0303742892723283,0.1292442437487674,2496,protein-coding
Dynll2,0.0483324425321081,0.0427243783325013,3.0827609138489774e-22,51477,protein-coding
Srsf1,0.0171440845867524,0.0190928339373371,5.010628892958144e-06,57142,protein-coding
Vezf1,0.0264027422758425,0.0271354502364393,2.256967895780156e-07,36385,protein-coding
Cuedc1,0.0780811548390204,0.0764483347507833,1.8043430166727136e-19,13897,protein-coding
Mrps23,-0.0157364713011787,-0.0169669390717201,0.000261648273326,46289,protein-coding
Msi2,-0.0137835173497691,-0.0145326313367668,0.021737718407212,24937,protein-coding
Akap1,0.012074973662332,0.0107683171969508,0.2686350503295683,10555,protein-coding
Scpep1,0.0153540267068384,0.0168331042656569,0.0034271302427349,30225,protein-coding
Coil,0.0213291006290384,0.0261983586422699,0.0345635233017075,6508,protein-coding
Trim25,0.0480571640899495,0.0384364599843337,2.4486349859219583e-10,27106,protein-coding
Dgke,0.0701508075874064,0.059394463322465,4.815484731638763e-05,4677,protein-coding
Gm525,0.0389712736151085,0.0417745837073546,0.0772362448980388,1790,protein-coding
Nog,0.0060461613411778,0.0082835383366508,0.839405366421447,601,protein-coding
Ankfn1,0.0302084004354365,0.0420086873504374,0.799556830069513,39,protein-coding
Pctp,-0.0115664772837918,-0.0117288595148661,0.3127019861942818,7411,protein-coding
Tmem100,-0.0505991452163927,-0.0536086945949606,4.552856029978814e-08,10391,protein-coding
Mmd,0.0473514600572849,0.0410064790963185,1.277014599479741e-07,16581,protein-coding
Hlf,0.0027860508808062,0.0032559921291677,0.7539144702275361,9272,protein-coding
Stxbp4,0.0038397558513098,0.0041052964908735,0.8203068000047367,3064,protein-coding
Cox11,-0.0087598501723029,-0.0089095102889369,0.2667610697161782,15539,protein-coding
Tom1l1,0.0646324396916277,0.0426399944350028,9.8581274260903e-05,8335,protein-coding
Car10,0.1725403266772459,0.1204974939210402,0.0032420756582763,595,protein-coding
Utp18,0.022085186358543,0.0266625314357012,2.797531938094895e-05,24682,protein-coding
Mbtd1,0.0264144488377704,0.029195803989124,7.566026281757996e-06,23508,protein-coding
Nme2,-0.0661314158626186,-0.0696114499855907,1.142666721243861e-136,127465,protein-coding
Nme1,-0.0585009979954378,-0.0674314446227064,6.963093653911033e-94,92710,protein-coding
Spag9,0.0665521991645006,0.0607572872863214,2.864818939663617e-38,45242,protein-coding
Tob1,0.0752093800065597,0.0650387673906221,6.8891389833907926e-46,47704,protein-coding
Wfikkn2,0.0094179055772989,0.0113882465633219,0.7707781041225379,657,protein-coding
Luc7l3,0.014098758235661,0.0149165746559858,0.0004087964904809,56137,protein-coding
Ankrd40,0.0209256214730615,0.0183795765077841,0.006170658598316,22200,protein-coding
Abcc3,0.2512288545497908,0.1296212305379584,7.583258586677517e-33,8412,protein-coding
Cacna1g,-0.0393646555764399,-0.0453835087606859,0.0571071589693525,1758,protein-coding
Spata20,0.1390889554992869,0.0620265759182539,0.6787411974008501,47,protein-coding
Epn3,-0.0148326730918159,-0.0167641252317666,0.1489012123475145,7415,protein-coding
Mycbpap,0.0065380446233591,0.003675151069662,0.9242403554664717,672,protein-coding
Rsad1,-0.0016798541112787,-0.0014798765512865,0.9315739131958618,3369,protein-coding
Acsf2,0.1218654635321919,0.0800616160356897,1.955285642893148e-21,14059,protein-coding
Chad,0.0880477949260758,0.0831107074257242,3.685440101379123e-05,2459,protein-coding
Lrrc59,0.0067548596850345,0.0069115745402633,0.1305009568747295,47867,protein-coding
Eme1,-0.0014270778012763,-0.0039663978617004,0.8201769688018321,3287,protein-coding
Mrpl27,0.0324324026706816,0.0326859268484828,4.688264850805487e-12,44732,protein-coding
Xylt2,0.0274576746988674,0.0256784262292615,0.0181543053362845,8464,protein-coding
Col1a1,0.0028157258171866,0.002870764270351,0.6870698826322423,19693,protein-coding
Sgca,-0.0232119895417394,-0.0280793304223862,0.5394107127336747,480,protein-coding
Ppp1r9b,0.0346273605312194,0.0325693488533725,1.423591738882138e-07,26093,protein-coding
Samd14,-0.0347268461933793,-0.0503833585769291,4.012391197881649e-05,6638,protein-coding
Pdk2,-0.100790445913863,-0.0727601274968059,5.297783304517271e-15,11522,protein-coding
Itga3,-0.0181713617601577,-0.0152737465767742,0.1455626447831003,9081,protein-coding
Dlx3,0.0191995909427229,0.0332385422169238,0.1463701290688376,1911,protein-coding
Dlx4,0.0069843602344079,0.0107207398174731,0.8100755585992387,505,protein-coding
Tac4,-0.0484243857083517,-0.0877510983251678,0.1121351900738986,329,protein-coding
Fam117a,0.0011984382324981,0.0015761808486312,0.8430887090955318,15774,protein-coding
Slc35b1,0.0473892884854317,0.0458969222203309,3.0232810158629214e-21,42458,protein-coding
Spop,0.0442667051855348,0.0443463505406441,8.771327582113389e-34,74565,protein-coding
Nxph3,0.0154847369568945,0.0215777471030845,0.3451708601816454,1916,protein-coding
Ngfr,-0.0016575647947616,-0.0024168669729877,0.902154530700026,2590,protein-coding
Zfp652,0.0255435762591172,0.0277070326326247,0.0476459727859465,5110,protein-coding
Phospho1,0.1718217395980003,0.126778249433931,9.013170189711428e-69,18960,protein-coding
Abi3,0.0045322393372031,0.0045731177136127,0.4629444482579666,25764,protein-coding
Gngt2,0.0337268337990781,0.0324424614087033,9.701017833979729e-13,48341,protein-coding
B4galnt2,0.7700048676689482,0.259280044517599,1.987538554838096e-34,2154,protein-coding
Igf2bp1,-0.0498560863659683,-0.0256913871391694,0.5817636500365524,462,protein-coding
Snf8,0.0082545381004847,0.0085656104977422,0.0226679441372404,70789,protein-coding
Ube2z,0.0214831808361783,0.0214501462421605,0.0001948295390722,30163,protein-coding
Ttll6,-0.0539401368438377,-0.032216625031336,0.6633181945344594,185,protein-coding
Hoxb13,0.2256958445041799,0.1104556135858595,0.016249964721766,473,protein-coding
Hoxb9,-0.0572886562305672,-0.049981688220969,0.0014734822697646,4045,protein-coding
Hoxb8,0.0886476483379684,0.0878890108523155,1.9287107760653548e-11,5811,protein-coding
Hoxb7,0.0269375713865707,0.0195227569294409,0.107350102980824,6804,protein-coding
Hoxb6,0.0273699454590829,0.0224646206164007,0.1519854519454845,4068,protein-coding
Hoxb5,0.0036421086935367,0.0028163873013936,0.873879108852233,3179,protein-coding
Hoxb4,0.0841199320913251,0.0782816622992087,1.9097338686219806e-13,8803,protein-coding
Hoxb3,0.0307788748453388,0.0254836249695062,0.1968870181941492,2566,protein-coding
Hoxb2,0.0578785844955863,0.064650417425402,2.8831845609913773e-07,6288,protein-coding
Hoxb1,0.0085603868055278,0.0088286164510677,0.8497328063887616,463,protein-coding
Skap1,-0.0386589197831646,-0.0534836737276055,1.1349810920863987e-09,12946,protein-coding
Snx11,0.0760231137140291,0.0733985163951563,6.282165730441976e-18,13781,protein-coding
Cbx1,0.0106587696553458,0.0114501511231657,0.0849625494234072,22634,protein-coding
Nfe2l1,0.0597852626574208,0.0551195800749303,2.651044666186721e-28,40007,protein-coding
Copz2,0.0581804491209637,0.0545716522043237,2.243228346913877e-16,22593,protein-coding
Cdk5rap3,0.0209173674099422,0.019547517046082,0.0003987723001386,32809,protein-coding
Prr15l,0.5841321142804609,0.3245031412611178,1.8693127520041336e-187,7666,protein-coding
Pnpo,0.1434398998440161,0.1091332691206116,5.9409380936291464e-58,21496,protein-coding
Sp2,0.0192869973816036,0.0198676398398567,0.0131323147778504,15583,protein-coding
Sp6,0.0310827622013892,0.0533163560647593,0.0008041700784113,3948,protein-coding
Scrn2,-0.0345470171134903,-0.0317404080628661,0.0003724573195158,12568,protein-coding
Lrrc46,-0.0448529885856888,-0.0496785532111142,0.2197380976760005,612,protein-coding
Mrpl10,-0.0016413046964022,-0.0016817976752075,0.7788232602406452,27890,protein-coding
Osbpl7,-0.0263947390493186,-0.0229876156522829,0.0921406114726883,5369,protein-coding
Tbx21,-0.0174157229413652,-0.0238991804307781,0.1625600575325199,3416,protein-coding
Tbkbp1,0.1204210269580789,0.1106879177398089,9.2656598364664e-29,10046,protein-coding
Kpnb1,0.0282348792635931,0.0295439235191917,1.903695726026434e-09,41309,protein-coding
Npepps,0.0215568532102219,0.0222256850387687,8.297191425102524e-06,40213,protein-coding
Mrpl45,0.001882418571733,0.0021966451878237,0.7051091341275821,29682,protein-coding
Gpr179,0.0162161677453143,0.0230997909871459,0.7157151088650522,251,protein-coding
Socs7,0.0334682898306089,0.0338581522546744,0.0001575318231528,12452,protein-coding
Arhgap23,0.1197839960825185,0.1210823247033671,3.646435418779253e-39,11608,protein-coding
Srcin1,0.0187918070799841,0.0302916104281695,0.0895708003924078,3142,protein-coding
Mllt6,0.0092037841972579,0.0092353623895829,0.2189394058848695,17721,protein-coding
Cisd3,0.0564899721667954,0.0502854640203579,2.919593248681405e-20,33592,protein-coding
Pcgf2,0.0536354724250912,0.0425277172333077,0.000857624208246,6141,protein-coding
Psmb3,-0.040034080501166,-0.0426350444852272,5.410730391637135e-43,103851,protein-coding
Pip4k2b,-0.0012564742174283,-0.0012874623254585,0.8966835410421439,10175,protein-coding
Cwc25,-0.001190242815366,-0.0012913315353745,0.8600573834591332,18642,protein-coding
Rpl23,-0.0830954003794302,-0.0837673214038416,2.5569737408105816e-232,150407,protein-coding
Lasp1,0.0730470148091139,0.0648654659028864,1.469776493708184e-46,48689,protein-coding
B230217C12Rik,0.0197149668363664,0.0181879560015343,0.341782332530846,2734,protein-coding
Fbxo47,0.1353801077739127,0.0976720162261302,0.2544208391510233,138,protein-coding
Plxdc1,0.0265543909501928,0.0404750799427467,0.007519632178316,4360,protein-coding
Arl5c,-0.0242617577608947,-0.0374099332632999,1.287376108130463e-06,16741,protein-coding
Cacnb1,0.0049595864680272,0.0057390288085361,0.8351077283171429,1318,protein-coding
Rpl19,-0.0654475175447168,-0.0662606172987347,1.0755430662821916e-145,150147,protein-coding
Stac2,-0.0597297177784522,-0.0927228512508,0.0001826970739759,1624,protein-coding
Fbxl20,0.0153219881842754,0.0133957666088301,0.1250257874865019,13115,protein-coding
Med1,0.0171875919994277,0.0192544254326438,0.0011432398461813,28535,protein-coding
Cdk12,0.0229331739703037,0.0227775405678928,6.8816526621321584e-06,38977,protein-coding
Ppp1r1b,-0.1538428676517788,-0.1368390559797954,6.503179389220664e-15,3216,protein-coding
Stard3,0.0202751903521036,0.0190410568727628,0.0036132477504899,23356,protein-coding
Tcap,-0.1284474371040634,-0.1192733378012755,2.901903179262724e-07,1839,protein-coding
Pnmt,-0.0964339968511022,-0.2162054573282129,0.0661845297485159,73,protein-coding
Pgap3,0.004644033664499,0.0044172638205319,0.7612200342309182,4735,protein-coding
Erbb2,0.1736721307145434,0.1225912847593381,7.593583330212301e-37,10621,protein-coding
Grb7,0.0912224008003889,0.0560694287775791,1.4603852030078744e-07,8781,protein-coding
Ikzf3,-0.0054367331077439,-0.0079248044809824,0.4478304638892363,9176,protein-coding
