gene,slope_z,r,p,n_cells_expr
Kcnd3,-0.13122356523994197,-0.19315878028570688,0.002885135810352962,236
Ddx20,0.05459005971418944,0.0668177046609641,6.094091039310939e-08,6558
6530418L21Rik,0.09071131165460695,0.09233448511245658,1.4143293922877627e-05,2204
Rap1a,-0.004399295436383815,-0.004524242996428041,0.16117687790162047,95911
Gm5547,-0.03504543103999025,-0.04565653606698978,0.00011628153684132108,7120
Adora3,0.04519105656034895,0.051068742718470644,0.05478440379879937,1415
I830077J02Rik,0.012317212218640254,0.017499636290538956,0.24814548977285641,4357
Atp5f1,-0.03843751103085413,-0.04074755723769277,2.6159200286673273e-42,111817
Wdr77,0.012312134531319834,0.015333124432035942,0.02403446477817231,21659
Ovgp1,-0.029979095605978626,-0.03853646130795927,0.29677839892115415,735
1700027A23Rik,0.022821904097897888,0.02963500159453539,0.5709259604455795,368
Chia,0.2248293292496694,0.14273030582962765,0.07940246394990912,152
Chi3l3,-0.03382162106641491,-0.06457224534150385,8.453023668583835e-34,35149
Chi3l4,0.005657411296251289,0.011157175550770747,0.8947837488309553,143
BC051070,0.10343752857087138,0.055281934404038724,0.6518725492135133,69
2010016I18Rik,-0.05472113248934098,-0.07685684799690308,0.0041290878529144336,1391
Dennd2d,-0.026717008931815327,-0.028465321827610687,0.04309890072669587,5050
Cept1,0.060821832478334156,0.05251225692867487,9.338708606687049e-24,36568
Dram2,0.08505405484746519,0.07104874039647868,2.3515571766464324e-42,36760
4933421E11Rik,0.019346905434377483,0.018666972918328306,0.013690611848132512,17441
Cd53,0.01624136181399971,0.02125276719131535,8.96353647864667e-08,63276
Kcna3,-0.002833621534375596,-0.004889542817781684,0.9219524099048755,404
AI504432,-0.023765094987789896,-0.03375343137386491,0.014295881898609246,5267
Kcna2,0.08972552022431515,0.04987826409214796,0.06910156402103688,1329
Cym,0.011566661166061148,0.012533668129202065,0.8121495570099009,362
Prok1,-0.06915295240359645,-0.11821810508357185,0.4135523926782684,50
Hbxip,-0.007705406679278297,-0.008249053227782115,0.017091971684109017,83573
Slc16a4,-0.04350562894596035,-0.06293993148861148,0.000536216015446356,3022
Rbm15,0.02182126292445467,0.02452586263372642,0.008342906714666387,11567
Kcnc4,0.02580734451667983,0.03312527478540855,0.5287016865641142,364
Slc6a17,0.013471941738043789,0.011396559026961961,0.6055344011933721,2056
Fam40a,0.02539808840046448,0.024925324389424585,0.001768090452544571,15733
Ahcyl1,0.03696295187381662,0.0359464052534585,9.167259249493691e-10,29001
Csf1,0.051234823216332256,0.0530183865601289,7.505271849025809e-11,15059
Eps8l3,1.2702935651920317,0.3844668754610943,1.721550827903623e-61,1714
4933431E20Rik,0.027758630065600254,0.0315691913409174,0.07247078710683107,3238
Gstm5,-0.06055380761293355,-0.06257404766505242,2.1387858296279298e-26,28810
Gstm7,0.00800355309007094,0.006622939554115939,0.6964539339424167,3472
Gstm6,0.003876949118981113,0.0028869100817100414,0.8677396605880633,3330
Gstm3,-0.2570965440437706,-0.12801978922257898,1.81329906444846e-09,2191
Gstm2,0.04181069428651034,0.04002572948093538,2.4442510630623395e-10,24997
Gstm1,0.001968794782074181,0.0019209548108225563,0.6126329004599036,69475
Gstm4,0.02652605804442176,0.02540418824134738,0.008270750364024856,10805
Ampd2,0.08909741164935621,0.09022138839247595,1.8869613261333523e-22,11628
Gnat2,0.21361725075713706,0.1842980608821759,3.581689286233903e-06,624
Gnai3,0.040695303772124554,0.040225746848981364,4.757557841856253e-22,57546
Amigo1,0.07625838675348667,0.06743357443974685,4.24743410934096e-06,4643
Cyb561d1,-0.016498283721760446,-0.015135408606722764,0.23827121664463827,6073
Atxn7l2,0.027737105820354005,0.02917484603775781,0.09153867549343343,3346
Sypl2,-0.017130002778208524,-0.0341680404843924,0.179066341383881,1548
Psma5,-0.01970227686838253,-0.020694221028196493,1.6201721948257913e-08,74484
Sort1,0.03915521460966047,0.032947531467856096,1.375755782141188e-05,17406
Mybphl,-0.12710732767442495,-0.10407412191009523,0.018265509360666034,514
Gm12522,0.017116210103016075,0.036930804595904775,0.5875932689616876,218
Psrc1,-0.006240848767285184,-0.012624473774343309,0.3506822438632653,5467
Celsr2,0.039714228545584276,0.056887208806593155,8.696877552161728e-11,12989
Sars,0.005088170083218707,0.005068509662806485,0.23484929252511258,54936
5330417C22Rik,0.016468789968531884,0.009916291440588936,0.5635982508893365,3394
