NAME,NES,pvalue,FDR
GOBP_ERYTHROSE_4_PHOSPHATE_PHOSPHOENOLPYRUVATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,1.2437692,0.19521913,0.45714265
GOBP_CHEMOSENSORY_BEHAVIOR,1.2423942,0.20507812,0.45822597
GOBP_NEUROTRANSMITTER_REUPTAKE,1.2421972,0.18619247,0.4579151
GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,1.2375518,0.18811882,0.4625993
GOBP_POSITIVE_REGULATION_OF_MYOBLAST_DIFFERENTIATION,1.2323412,0.18992248,0.46683323
GOBP_BINDING_OF_SPERM_TO_ZONA_PELLUCIDA,1.2318774,0.19569471,0.46693856
GOBP_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORT,1.2317222,0.20582524,0.46659264
GOBP_RESPONSE_TO_COCAINE,1.2299864,0.19148937,0.4683198
GOBP_MUSCLE_ADAPTATION,1.2298816,0.19373778,0.46789038
GOBP_POTASSIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE,1.227493,0.18436874,0.46894324
GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,1.2266703,0.21218075,0.46975192
GOBP_POSITIVE_T_CELL_SELECTION,1.2212732,0.20512821,0.47656873
GOBP_GLYCINE_TRANSPORT,1.219458,0.20724346,0.47789115
GOBP_STEROID_METABOLIC_PROCESS,1.2145587,0.2090164,0.48074272
GOBP_CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION,1.2130749,0.24055666,0.48146063
GOBP_POSITIVE_REGULATION_OF_ORGAN_GROWTH,1.2097586,0.22796935,0.48305908
GOBP_EPOXYGENASE_P450_PATHWAY,1.2064817,0.2376033,0.4856915
GOBP_RESPONSE_TO_ZINC_ION,1.205284,0.22834645,0.48651955
GOBP_BILE_ACID_BIOSYNTHETIC_PROCESS,1.2020112,0.24593496,0.48795995
GOBP_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL,1.2008802,0.23461539,0.48753592
GOBP_C21_STEROID_HORMONE_METABOLIC_PROCESS,1.197337,0.24,0.48904186
GOBP_RENAL_VESICLE_DEVELOPMENT,1.1963859,0.2402464,0.49016148
GOBP_NEGATIVE_REGULATION_OF_B_CELL_PROLIFERATION,1.1949296,0.23540856,0.4909282
GOBP_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,1.1943493,0.254,0.49131835
GOBP_NEGATIVE_REGULATION_OF_MONOATOMIC_ION_TRANSPORT,1.1940625,0.23188406,0.49124542
GOBP_POSITIVE_REGULATION_OF_FIBROBLAST_PROLIFERATION,1.1864291,0.2494929,0.50040215
GOBP_THYMIC_T_CELL_SELECTION,1.1824235,0.24693878,0.5044733
GOBP_SPERM_EGG_RECOGNITION,1.1809444,0.25306123,0.505856
GOBP_HEART_PROCESS,1.177313,0.2475442,0.50992703
GOBP_GLUCOSE_6_PHOSPHATE_METABOLIC_PROCESS,1.1697271,0.24901186,0.5156801
GOBP_HYDROGEN_PEROXIDE_METABOLIC_PROCESS,1.1682839,0.25555557,0.5176061
GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY,1.167931,0.27111983,0.5176727
GOBP_NEGATIVE_REGULATION_OF_CATION_CHANNEL_ACTIVITY,1.1676241,0.25478926,0.51764643
GOBP_PHOSPHATE_ION_TRANSPORT,1.1671624,0.249501,0.5178506
GOBP_IONOTROPIC_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY,1.1642495,0.26915115,0.5207258
GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR,1.1569141,0.28169015,0.53021514
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,1.1528699,0.2504744,0.5355995
GOBP_MONOATOMIC_ANION_TRANSPORT,1.1502509,0.27701375,0.5373037
GOBP_ASPARTATE_TRANSMEMBRANE_TRANSPORT,1.147481,0.2763713,0.5393775
GOBP_GMP_METABOLIC_PROCESS,1.1473666,0.29545453,0.53898513
GOBP_CELLULAR_RESPONSE_TO_HEAT,1.1396079,0.28820115,0.5484779
GOBP_NEGATIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS,1.13721,0.29124236,0.5516486
GOBP_STEROID_BIOSYNTHETIC_PROCESS,1.1352158,0.3164794,0.5541876
GOBP_CELLULAR_HYPEROSMOTIC_RESPONSE,1.1312636,0.30392158,0.5578939
GOBP_SEX_CHROMOSOME_DOSAGE_COMPENSATION,1.1274743,0.28968254,0.5617734
GOBP_L_GLUTAMATE_TRANSMEMBRANE_TRANSPORT,1.1274726,0.30859375,0.561172
GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,1.1221393,0.31536925,0.5663384
GOBP_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY,1.1217887,0.2967033,0.566377
GOBP_DENTATE_GYRUS_DEVELOPMENT,1.1166852,0.30871212,0.5697778
GOBP_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR,1.1165134,0.30661324,0.5688694
GOBP_ATRIAL_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,1.1164858,0.32924336,0.5683308
GOBP_BILE_ACID_METABOLIC_PROCESS,1.1158259,0.30769232,0.56898415
GOBP_NEGATIVE_REGULATION_OF_POTASSIUM_ION_TRANSPORT,1.1153764,0.2992126,0.5686341
GOBP_CARDIAC_MUSCLE_CONTRACTION,1.1124932,0.3159923,0.572779
GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION,1.1072956,0.34226805,0.57893056
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEOLUS,1.1062844,0.31669867,0.5795266
GOBP_RESPONSE_TO_VITAMIN,1.1053632,0.30769232,0.5794658
GOBP_SYNAPTONEMAL_COMPLEX_ORGANIZATION,1.099801,0.31384015,0.587311
GOBP_COLLATERAL_SPROUTING,1.0955251,0.33333334,0.59159714
GOBP_REGULATION_OF_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE,1.0941247,0.33141762,0.59240925
GOBP_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_LOCALIZATION_TO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE,1.0923979,0.31906614,0.5937973
GOBP_L_GLUTAMATE_IMPORT,1.0897979,0.34325397,0.59635264
GOBP_REGULATION_OF_MUSCLE_ADAPTATION,1.089168,0.32681018,0.5963971
GOBP_VITAMIN_D_METABOLIC_PROCESS,1.0881687,0.336,0.59588724
GOBP_TISSUE_REGENERATION,1.0873057,0.32673267,0.5964255
GOBP_ESTROGEN_METABOLIC_PROCESS,1.0864865,0.3056133,0.5961697
GOBP_NEGATIVE_REGULATION_OF_TRANSLATIONAL_INITIATION,1.0833523,0.3427992,0.5984512
GOBP_STRIATED_MUSCLE_CONTRACTION,1.0816479,0.32388663,0.5986672
GOBP_AROMATIC_AMINO_ACID_FAMILY_CATABOLIC_PROCESS,1.078043,0.35968378,0.6024648
GOBP_NEUTRAL_AMINO_ACID_TRANSPORT,1.0747954,0.34016395,0.6050489
GOBP_POSITIVE_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL,1.0741045,0.34758365,0.60573745
GOBP_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT,1.07361,0.36039603,0.6054385
GOBP_CELLULAR_RESPONSE_TO_CALCIUM_ION,1.0732155,0.3575526,0.6056399
GOBP_CELL_CELL_ADHESION_MEDIATED_BY_INTEGRIN,1.0714706,0.34334764,0.60718673
GOBP_HETEROTYPIC_CELL_CELL_ADHESION,1.0693386,0.3375,0.6099713
GOBP_POSITIVE_REGULATION_OF_PROTEIN_MATURATION,1.0678154,0.37142858,0.6110355
GOBP_NONRIBOSOMAL_PEPTIDE_BIOSYNTHETIC_PROCESS,1.0664775,0.37166324,0.6129467
GOBP_NEGATIVE_REGULATION_OF_BLOOD_PRESSURE,1.0657806,0.375969,0.6124488
GOBP_TORC2_SIGNALING,1.0644023,0.37869823,0.61335576
GOBP_CORTICOSTEROID_HORMONE_SECRETION,1.0634489,0.35700196,0.61392665
GOBP_AMIDE_CATABOLIC_PROCESS,1.0579826,0.35181645,0.61758804
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,1.0575402,0.37090164,0.61781687
GOBP_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,1.0558132,0.37755102,0.61870295
GOBP_URETER_DEVELOPMENT,1.0506736,0.3767535,0.6231373
GOBP_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,1.0487992,0.374,0.6249246
GOBP_RESPONSE_TO_ANGIOTENSIN,1.0472226,0.3612245,0.6266922
GOBP_CARDIAC_MUSCLE_CELL_DIFFERENTIATION,1.0465462,0.38857144,0.6267939
GOBP_RESPONSE_TO_THYROID_HORMONE,1.0459806,0.3898305,0.62670386
GOBP_MEMBRANE_REPOLARIZATION,1.0440356,0.3849287,0.6280625
GOBP_SKELETAL_MUSCLE_ADAPTATION,1.0434359,0.39292732,0.6285773
GOBP_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE,1.0432025,0.39250493,0.6278862
