cell_type,tissue_type,germ_layer
bladder_urothelial_cell,Bladder,Endoderm
bronchial_smooth_muscle_cell,Fat,Mesoderm
bronchial_smooth_muscle_cell,Kidney,Mesoderm
bronchial_smooth_muscle_cell,Lung,Mesoderm
brush_cell,Kidney,Mesoderm
cardiac_neuron,Heart_and_Aorta,Mesoderm
cardiac_neuron,Liver,Mesoderm
cardiomyocyte,Heart_and_Aorta,Mesoderm
classical_monocyte,Fat,Mesoderm
classical_monocyte,Heart_and_Aorta,Mesoderm
classical_monocyte,Kidney,Mesoderm
classical_monocyte,Lung,Mesoderm
dendritic_cell,Lung,Mesoderm
double_negative_T_cell,Thymus,Mesoderm
endocardial_cell,Heart_and_Aorta,Mesoderm
endothelial_cell,Bladder,Endoderm
endothelial_cell,Fat,Mesoderm
endothelial_cell,Heart_and_Aorta,Mesoderm
endothelial_cell,Kidney,Mesoderm
endothelial_cell,Large_Intestine,Endoderm
endothelial_cell,Limb_Muscle,Mesoderm
endothelial_cell,Liver,Mesoderm
endothelial_cell,Mammary_Gland,Mesoderm
endothelial_cell,Pancreas,Endoderm
endothelial_cell_of_coronary_artery,Bladder,Endoderm
endothelial_cell_of_coronary_artery,Heart_and_Aorta,Mesoderm
endothelial_cell_of_hepatic_sinusoid,Kidney,Mesoderm
endothelial_cell_of_hepatic_sinusoid,Large_Intestine,Endoderm
endothelial_cell_of_hepatic_sinusoid,Liver,Mesoderm
endothelial_cell_of_lymphatic_vessel,Fat,Mesoderm
endothelial_cell_of_lymphatic_vessel,Lung,Mesoderm
enterocyte_of_epithelium_of_large_intestine,Heart_and_Aorta,Mesoderm
enterocyte_of_epithelium_of_large_intestine,Kidney,Mesoderm
enterocyte_of_epithelium_of_large_intestine,Large_Intestine,Endoderm
epidermal_cell,Fat,Mesoderm
epidermal_cell,Kidney,Mesoderm
epidermal_cell,Lung,Mesoderm
epidermal_cell,Mammary_Gland,Mesoderm
epidermal_cell,Marrow,Mesoderm
epidermal_cell,Pancreas,Endoderm
epidermal_cell,Skin,Ectoderm
epithelial_cell,Fat,Mesoderm
epithelial_cell,Liver,Mesoderm
epithelial_cell_of_large_intestine,Large_Intestine,Endoderm
epithelial_cell_of_proximal_tubule,Kidney,Mesoderm
erythroblast,Bladder,Endoderm
erythroblast,Fat,Mesoderm
erythroblast,Large_Intestine,Endoderm
erythroblast,Mammary_Gland,Mesoderm
erythroblast,Marrow,Mesoderm
erythroblast,Spleen,Mesoderm
erythrocyte,Heart_and_Aorta,Mesoderm
erythroid_progenitor,Marrow,Mesoderm
fenestrated_cell,Kidney,Mesoderm
fibroblast,Kidney,Mesoderm
fibroblast_of_cardiac_tissue,Heart_and_Aorta,Mesoderm
fibroblast_of_lung,Kidney,Mesoderm
fibroblast_of_lung,Lung,Mesoderm
granulocyte,Kidney,Mesoderm
granulocyte,Lung,Mesoderm
granulocyte,Marrow,Mesoderm
granulocyte,Spleen,Mesoderm
granulocytopoietic_cell,Kidney,Mesoderm
granulocytopoietic_cell,Lung,Mesoderm
granulocytopoietic_cell,Marrow,Mesoderm
hematopoietic_precursor_cell,Heart_and_Aorta,Mesoderm
hematopoietic_precursor_cell,Kidney,Mesoderm
hematopoietic_precursor_cell,Limb_Muscle,Mesoderm
hematopoietic_precursor_cell,Liver,Mesoderm
hematopoietic_precursor_cell,Mammary_Gland,Mesoderm
hematopoietic_precursor_cell,Marrow,Mesoderm
hepatic_stellate_cell,Liver,Mesoderm
hepatocyte,Limb_Muscle,Mesoderm
hepatocyte,Liver,Mesoderm
immature_B_cell,Marrow,Mesoderm
immature_NKT_cell,Spleen,Mesoderm
immature_T_cell,Fat,Mesoderm
immature_T_cell,Pancreas,Endoderm
immature_T_cell,Thymus,Mesoderm
intermediate_monocyte,Lung,Mesoderm
intestinal_crypt_stem_cell,Large_Intestine,Endoderm
keratinocyte,Bladder,Endoderm
keratinocyte,Heart_and_Aorta,Mesoderm
keratinocyte,Kidney,Mesoderm
keratinocyte,Limb_Muscle,Mesoderm
keratinocyte,Lung,Mesoderm
keratinocyte,Marrow,Mesoderm
keratinocyte,Spleen,Mesoderm
keratinocyte,Thymus,Mesoderm
