tissue,cell_type,go_term,NES,FDR
Bladder,bladder cell,Post-Transcriptional Regulation Of Gene Expression (GO:0010608),-1.282105619184771,1.0
Bladder,bladder cell,Transport Across Blood-Brain Barrier (GO:0150104),-1.2805260250815056,1.0
Bladder,bladder cell,Peptidyl-Serine Modification (GO:0018209),-1.2791436453933287,1.0
Bladder,bladder cell,Autophagosome Organization (GO:1905037),-1.278340992174647,1.0
Bladder,bladder cell,External Encapsulating Structure Organization (GO:0045229),1.2758494450671074,0.9641157434284496
Bladder,bladder cell,Positive Regulation Of Protein Dephosphorylation (GO:0035307),1.2753950584904494,0.9430551370894849
Bladder,bladder cell,Nuclear-Transcribed mRNA Catabolic Process (GO:0000956),-1.2738279751441277,1.0
Bladder,bladder cell,RNA Methylation (GO:0001510),-1.273816886659809,1.0
Bladder,bladder cell,Negative Regulation Of Innate Immune Response (GO:0045824),1.2730598917313465,0.9305815880378652
Bladder,bladder cell,Regulation Of Hydrolase Activity (GO:0051336),-1.272492450500302,1.0
Bladder,bladder cell,Protein Localization To Plasma Membrane (GO:0072659),-1.2723303064582951,1.0
Bladder,bladder cell,Negative Regulation Of Cell Cycle G1/S Phase Transition (GO:1902807),-1.2712949271959806,1.0
Bladder,bladder cell,Regulation Of Chromatin Organization (GO:1902275),-1.2693075635921307,1.0
Bladder,bladder cell,Intracellular Protein Transmembrane Transport (GO:0065002),1.269006976051627,0.9313339262236708
Bladder,bladder cell,Negative Regulation Of Growth (GO:0045926),-1.2683673123386476,1.0
Bladder,bladder cell,Regulation Of Metaphase/Anaphase Transition Of Cell Cycle (GO:1902099),-1.2675765708468945,1.0
Bladder,bladder cell,Monocarboxylic Acid Transport (GO:0015718),-1.2667844768906116,1.0
Bladder,bladder cell,Synapse Organization (GO:0050808),-1.2661918746245435,1.0
Bladder,bladder cell,Response To Glucose (GO:0009749),-1.2659077768282347,1.0
Bladder,bladder cell,Protein Targeting To Vacuole (GO:0006623),-1.2650465075301105,1.0
Bladder,bladder cell,Positive Regulation Of Notch Signaling Pathway (GO:0045747),-1.264955121896588,1.0
Bladder,bladder cell,Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902041),-1.2645180932431772,1.0
Bladder,bladder cell,"Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:0000288)",-1.2624895690084963,1.0
Bladder,bladder cell,Post-Translational Protein Modification (GO:0043687),-1.2616638280711874,1.0
Bladder,bladder cell,Stress-Activated MAPK Cascade (GO:0051403),-1.2613783093373974,1.0
Bladder,bladder cell,Granulocyte Chemotaxis (GO:0071621),1.2572145787672668,0.9630950587526363
Bladder,bladder cell,Lipid Biosynthetic Process (GO:0008610),-1.2533578171443096,1.0
Bladder,bladder cell,"Nuclear-Transcribed mRNA Catabolic Process, Nonsense-Mediated Decay (GO:0000184)",-1.2524994507160556,1.0
Bladder,bladder cell,Regulation Of Signal Transduction By P53 Class Mediator (GO:1901796),-1.250658113297924,1.0
Bladder,bladder cell,Lymphocyte Differentiation (GO:0030098),-1.2506502915046245,1.0
Bladder,bladder cell,Recombinational Repair (GO:0000725),1.250232999775262,0.9754085911812096
Bladder,bladder cell,Regulation Of Translation (GO:0006417),-1.2492787943360082,1.0
