donor,age_yr,cell_type,mutations,callable_sites,burden_per_bp,burden_per_kb
TSP14,59,classical_monocyte,202,156865104,1.2877306351067092e-06,0.0012877306351067091
TSP14,59,club_cell,0,470183,0.0,0.0
TSP14,59,common_myeloid_progenitor,0,55702,0.0,0.0
TSP14,59,conjunctival_epithelial_cell,4,1917044,2.086545744385627e-06,0.0020865457443856273
TSP14,59,corneal_epithelial_cell,0,334603,0.0,0.0
TSP14,59,dendritic_cell,0,110689,0.0,0.0
TSP14,59,effector_CD4-positive_alpha-beta_T_cell,67,97554202,6.867976840198027e-07,0.0006867976840198027
TSP14,59,effector_CD8-positive_alpha-beta_T_cell,66,87570110,7.536818213429217e-07,0.0007536818213429217
TSP14,59,endothelial_cell,124,125336890,9.893336271547827e-07,0.0009893336271547828
TSP14,59,endothelial_cell_of_artery,0,1483988,0.0,0.0
TSP14,59,endothelial_cell_of_hepatic_sinusoid,0,1047100,0.0,0.0
TSP14,59,endothelial_cell_of_vascular_tree,11,13677597,8.042348374498825e-07,0.0008042348374498825
TSP14,59,epithelial_cell,0,508080,0.0,0.0
TSP14,59,erythrocyte,11,11784964,9.333927536817253e-07,0.0009333927536817252
TSP14,59,eye_photoreceptor_cell,0,198064,0.0,0.0
TSP14,59,fibroblast,198,155131011,1.2763405506330389e-06,0.0012763405506330389
TSP14,59,granulocyte,0,199762,0.0,0.0
TSP14,59,hematopoietic_stem_cell,2,2682328,7.456209680546152e-07,0.0007456209680546152
TSP14,59,hepatocyte,75,64733067,1.1586041489429196e-06,0.0011586041489429196
TSP14,59,innate_lymphoid_cell,14,32346446,4.3281416449893754e-07,0.00043281416449893754
TSP14,59,intermediate_monocyte,1,2738628,3.651463433514884e-07,0.0003651463433514884
TSP14,59,keratinocyte,128,112587191,1.1368966475058429e-06,0.0011368966475058429
TSP14,59,keratocyte,0,153644,0.0,0.0
TSP14,59,leukocyte,3,10801785,2.777318748706811e-07,0.0002777318748706811
TSP14,59,lung_ciliated_cell,0,307767,0.0,0.0
TSP14,59,lung_microvascular_endothelial_cell,0,158689,0.0,0.0
TSP14,59,macrophage,180,171183750,1.0515016758307958e-06,0.0010515016758307959
TSP14,59,mast_cell,0,1385624,0.0,0.0
TSP14,59,mature_NK_T_cell,25,51621261,4.842965769472389e-07,0.0004842965769472389
TSP14,59,memory_B_cell,48,96322595,4.983254448242388e-07,0.0004983254448242388
TSP14,59,mesenchymal_stem_cell,384,209643602,1.8316800338128135e-06,0.0018316800338128135
TSP14,59,monocyte,8,11313332,7.071303131561948e-07,0.0007071303131561948
TSP14,59,myofibroblast_cell,12,27293970,4.396575507337335e-07,0.0004396575507337335
TSP14,59,naive_B_cell,1,5007576,1.9969741847153194e-07,0.00019969741847153193
TSP14,59,naive_thymus-derived_CD4-positive_alpha-beta_T_cell,5,16537522,3.023427572764529e-07,0.0003023427572764529
TSP14,59,naive_thymus-derived_CD8-positive_alpha-beta_T_cell,1,1142471,8.752957405483378e-07,0.0008752957405483378
TSP14,59,neutrophil,292,122364969,2.386303877541946e-06,0.002386303877541946
TSP14,59,non-classical_monocyte,0,897042,0.0,0.0
TSP14,59,pericyte,12,27631429,4.34288071022313e-07,0.000434288071022313
TSP14,59,plasma_cell,259,189226103,1.368732938499505e-06,0.001368732938499505
TSP14,59,pulmonary_alveolar_type_1_cell,0,136995,0.0,0.0
TSP14,59,pulmonary_alveolar_type_2_cell,255,202417122,1.2597748524455358e-06,0.0012597748524455358
TSP14,59,regulatory_T_cell,2,18939694,1.0559832698458592e-07,0.00010559832698458592
TSP14,59,respiratory_goblet_cell,0,681326,0.0,0.0
TSP14,59,retinal_blood_vessel_endothelial_cell,0,127474,0.0,0.0
TSP14,59,skeletal_muscle_satellite_stem_cell,45,66517200,6.765167505547438e-07,0.0006765167505547437
TSP14,59,smooth_muscle_cell,2,4672931,4.279969038703974e-07,0.0004279969038703974
TSP14,59,stromal_cell,0,2720484,0.0,0.0
TSP14,59,type_I_NK_T_cell,46,78586297,5.853437781907449e-07,0.0005853437781907448
TSP14,59,vein_endothelial_cell,1,4608541,2.1698841346968596e-07,0.00021698841346968597
TSP15,46,B_cell,0,772457,0.0,0.0
TSP15,46,CD4-positive_alpha-beta_T_cell,0,303904,0.0,0.0
TSP15,46,CD4-positive_alpha-beta_memory_T_cell,0,124241,0.0,0.0
TSP15,46,CD8-positive_alpha-beta_T_cell,0,59245,0.0,0.0
TSP15,46,CD8-positive_alpha-beta_cytokine_secreting_effector_T_cell,0,55911,0.0,0.0
TSP15,46,CD8-positive_alpha-beta_memory_T_cell,0,253458,0.0,0.0
TSP15,46,Mueller_cell,33,9215106,3.581076549743432e-06,0.003581076549743432
TSP15,46,T_cell,1,907436,1.102006091889676e-06,0.001102006091889676
TSP15,46,basal_cell,0,354570,0.0,0.0
TSP15,46,basophil,1,42598,2.347528052960233e-05,0.02347528052960233
TSP15,46,bladder_urothelial_cell,0,247871,0.0,0.0
TSP15,46,capillary_endothelial_cell,0,137005,0.0,0.0
TSP15,46,classical_monocyte,1,601042,1.663777240192865e-06,0.0016637772401928651
TSP15,46,club_cell,0,50621,0.0,0.0
TSP15,46,common_myeloid_progenitor,0,6360,0.0,0.0
TSP15,46,conjunctival_epithelial_cell,111,67083350,1.6546579739980188e-06,0.0016546579739980189
TSP15,46,corneal_epithelial_cell,127,64682355,1.963441188868278e-06,0.001963441188868278
TSP15,46,dendritic_cell,1,1830847,5.461952855700121e-07,0.000546195285570012
TSP15,46,effector_CD4-positive_alpha-beta_T_cell,0,197679,0.0,0.0
TSP15,46,effector_CD8-positive_alpha-beta_T_cell,0,145714,0.0,0.0
TSP15,46,endothelial_cell,0,2635807,0.0,0.0
TSP15,46,endothelial_cell_of_artery,0,7278,0.0,0.0
TSP15,46,endothelial_cell_of_hepatic_sinusoid,0,11802,0.0,0.0
TSP15,46,endothelial_cell_of_vascular_tree,0,147733,0.0,0.0
TSP15,46,epithelial_cell,0,52127,0.0,0.0
TSP15,46,erythrocyte,0,248769,0.0,0.0
TSP15,46,erythroid_progenitor_cell,0,6103,0.0,0.0
TSP15,46,eye_photoreceptor_cell,78,18475625,4.221778694902067e-06,0.004221778694902067
TSP15,46,fast_muscle_cell,0,4047,0.0,0.0
TSP15,46,fibroblast,1,2860245,3.4962039965107886e-07,0.00034962039965107886
TSP15,46,granulocyte,0,6851,0.0,0.0
TSP15,46,hematopoietic_stem_cell,0,8402,0.0,0.0
TSP15,46,hepatocyte,0,42538,0.0,0.0
TSP15,46,innate_lymphoid_cell,0,36128,0.0,0.0
TSP15,46,intermediate_monocyte,0,18582,0.0,0.0
TSP15,46,keratinocyte,0,141257,0.0,0.0
TSP15,46,keratocyte,15,15236848,9.84455577689034e-07,0.000984455577689034
TSP15,46,leukocyte,0,42176,0.0,0.0
TSP15,46,lung_ciliated_cell,0,14424,0.0,0.0
TSP15,46,lung_microvascular_endothelial_cell,0,21119,0.0,0.0
TSP15,46,macrophage,4,5862271,6.823294248935267e-07,0.0006823294248935267
TSP15,46,mast_cell,0,64007,0.0,0.0
TSP15,46,mature_NK_T_cell,0,206546,0.0,0.0
TSP15,46,memory_B_cell,0,350153,0.0,0.0
TSP15,46,mesenchymal_stem_cell,0,1493368,0.0,0.0
TSP15,46,monocyte,1,684407,1.461118895627894e-06,0.001461118895627894
TSP15,46,myofibroblast_cell,0,140019,0.0,0.0
TSP15,46,naive_B_cell,0,192694,0.0,0.0
TSP15,46,naive_thymus-derived_CD4-positive_alpha-beta_T_cell,1,96477,1.036516475429377e-05,0.01036516475429377
TSP15,46,naive_thymus-derived_CD8-positive_alpha-beta_T_cell,0,24565,0.0,0.0
TSP15,46,neutrophil,1,824370,1.2130475393330665e-06,0.0012130475393330666
TSP15,46,non-classical_monocyte,0,27135,0.0,0.0
TSP15,46,pericyte,0,265799,0.0,0.0
TSP15,46,plasma_cell,2,776807,2.574642092566107e-06,0.002574642092566107
TSP15,46,pulmonary_alveolar_type_1_cell,0,2980,0.0,0.0
TSP15,46,pulmonary_alveolar_type_2_cell,2,781901,2.5578685792702655e-06,0.0025578685792702655
TSP15,46,regulatory_T_cell,0,12636,0.0,0.0
TSP15,46,respiratory_goblet_cell,0,29249,0.0,0.0
TSP15,46,retinal_blood_vessel_endothelial_cell,14,19113990,7.324478039383718e-07,0.0007324478039383718
TSP15,46,skeletal_muscle_satellite_stem_cell,0,164467,0.0,0.0
TSP15,46,smooth_muscle_cell,0,19888,0.0,0.0
TSP15,46,stromal_cell,2,7964260,2.511218870303079e-07,0.0002511218870303079
TSP15,46,type_I_NK_T_cell,0,195695,0.0,0.0
TSP15,46,vein_endothelial_cell,0,36150,0.0,0.0
TSP2,61,B_cell,6,12497944,4.80078963387898e-07,0.000480078963387898
TSP2,61,CD4-positive_alpha-beta_T_cell,77,70567457,1.0911545246699197e-06,0.0010911545246699197
TSP2,61,CD4-positive_alpha-beta_memory_T_cell,147,77214839,1.9037791427629603e-06,0.0019037791427629603
TSP2,61,CD8-positive_alpha-beta_T_cell,47,46656416,1.0073641318698805e-06,0.0010073641318698804
TSP2,61,CD8-positive_alpha-beta_cytokine_secreting_effector_T_cell,0,178300,0.0,0.0
TSP2,61,CD8-positive_alpha-beta_memory_T_cell,75,60600040,1.2376229454634023e-06,0.0012376229454634023
TSP2,61,Mueller_cell,0,42570,0.0,0.0
TSP2,61,T_cell,73,64141825,1.138102946088609e-06,0.001138102946088609
TSP2,61,basal_cell,79,90373555,8.741495230546148e-07,0.0008741495230546148
TSP2,61,basophil,6,3713608,1.6156794147362888e-06,0.0016156794147362888
TSP2,61,bladder_urothelial_cell,162,83489706,1.940358970721492e-06,0.0019403589707214922
TSP2,61,capillary_endothelial_cell,79,53638736,1.472816212522234e-06,0.001472816212522234
TSP2,61,classical_monocyte,57,42326775,1.3466653200013467e-06,0.0013466653200013467
TSP2,61,club_cell,28,33781940,8.288452350575485e-07,0.0008288452350575484
TSP2,61,common_myeloid_progenitor,4,4062090,9.84714765059366e-07,0.000984714765059366
TSP2,61,conjunctival_epithelial_cell,0,751961,0.0,0.0
