gene,slope_z,r,p,n_cells_expr,gene_symbol,biotype
ENSG00000118804,-0.0134336082646048,-0.0351320555180152,0.0289967069370858,3863,STBD1,protein-coding
ENSG00000111834,0.0058389836485471,0.0085102482496474,0.5969607321767045,3863,RSPH4A,protein-coding
ENSG00000172367,-0.0147356155732048,-0.0381529690852985,0.0178678434446362,3853,NHERF4,protein-coding
ENSG00000253767,-0.0015214751277529,-0.0021043741463928,0.896133127173047,3851,PCDHGA8,protein-coding
ENSG00000166349,0.0026618738607224,0.0035514146976227,0.8256240857273272,3851,RAG1,protein-coding
ENSG00000088320,-0.0139190678586532,-0.0226901999361211,0.1594623762700684,3846,REM1,protein-coding
ENSG00000162572,-0.0091740327294366,-0.0126718854416009,0.4320799800953403,3846,SCNN1D,protein-coding
ENSG00000153789,0.0140842863117552,0.0228532510358509,0.1565384517080701,3845,CIBAR2,protein-coding
ENSG00000132855,-0.0327730055638865,-0.0475409709197706,0.0031997696510422,3843,ANGPTL3,protein-coding
ENSG00000173825,-0.0439050374270326,-0.0622809241655516,0.0001122768402412,3841,TIGD3,protein-coding
ENSG00000165164,0.0247468232400972,0.0391720775270336,0.0152013485577277,3840,CFAP47,protein-coding
ENSG00000139915,-0.0261310473751491,-0.0379776409201665,0.0185990525561991,3840,MDGA2,protein-coding
ENSG00000234828,-0.0230773186136826,-0.0673086000271692,2.9956890861168206e-05,3839,IQCM,protein-coding
ENSG00000150750,-0.0559089543556461,-0.0458853473338753,0.0044917607560155,3833,POU2AF2,protein-coding
ENSG00000153303,-0.0146589746591838,-0.0551927925799509,0.0006306027504345,3832,FRMD1,protein-coding
ENSG00000128165,-0.0075919855680765,-0.0199236239680887,0.2177354826557679,3829,ADM2,protein-coding
ENSG00000185130,0.0022288289866989,0.0072335904965729,0.6545805303235788,3828,H2BC13,protein-coding
ENSG00000169126,0.0138231403397056,0.0243177814867198,0.1325060790043092,3828,ODAD2,protein-coding
ENSG00000213512,0.0078687806551183,0.0107687515646575,0.5055868742006104,3824,GBP7,protein-coding
ENSG00000162753,0.0390613433266884,0.0430772935538946,0.0077331561816041,3822,SLC9C2,protein-coding
ENSG00000197272,-0.0436358392084348,-0.0567546870036719,0.0004482262993076,3821,IL27,protein-coding
ENSG00000284797,-0.0132419453910253,-0.025811758579345,0.110790273039407,3818,CIST1,protein-coding
ENSG00000197479,-0.0022230191643802,-0.0025983983173691,0.8724851392599076,3818,PCDHB11,protein-coding
ENSG00000108684,-0.0429321773776432,-0.0664864330999275,3.9510926896323325e-05,3816,ASIC2,protein-coding
ENSG00000156959,-0.0064192518369669,-0.0080609227723014,0.6186719964144871,3815,LHFPL4,protein-coding
ENSG00000176732,-0.0027818752058427,-0.0038591063499182,0.8116857444598707,3814,PFN4,protein-coding
ENSG00000127903,0.0058833831402096,0.0112756610887021,0.4863911281608466,3813,ZNF835,protein-coding
ENSG00000105278,-0.0188189605535202,-0.0344297464274223,0.0335769710093807,3810,ZFR2,protein-coding
ENSG00000129910,0.0460698767600236,0.0560924638271969,0.0005332865051456,3809,CDH15,protein-coding
ENSG00000144045,-0.0360732922617537,-0.0822184184817528,3.816644603343497e-07,3804,DQX1,protein-coding
ENSG00000182533,-0.0217423542230128,-0.0314092940515653,0.0528316475871117,3801,CAV3,protein-coding
ENSG00000099715,-0.0377820220380678,-0.0640275474143837,7.876829342100755e-05,3797,PCDH11Y,protein-coding
ENSG00000165702,-0.0426229857560614,-0.0326189471988823,0.0446442106573695,3790,GFI1B,protein-coding
ENSG00000163632,-0.0276594397986419,-0.0372813603479936,0.0217394723552235,3789,C3orf49,protein-coding
ENSG00000139874,0.0025501915812821,0.0065998429930657,0.6847706444572161,3786,SSTR1,protein-coding
ENSG00000166246,-0.0030557258670732,-0.0043300336391032,0.7900298017882622,3784,DNAAF8,protein-coding
ENSG00000104722,-0.0484659518526262,-0.0762310981415448,2.6715541424860337e-06,3784,NEFM,protein-coding
ENSG00000163064,0.021791611275223,0.0201871100987657,0.2144171549060167,3784,EN1,protein-coding
ENSG00000058404,0.0037245134186623,0.0062727861047971,0.699838990199558,3780,CAMK2B,protein-coding
ENSG00000163794,-0.0180470520327146,-0.0250513730744302,0.1238751329570066,3774,UCN,protein-coding
ENSG00000204010,0.0707386877214551,0.0164854836279774,0.3113707462210148,3773,IFIT1B,protein-coding
ENSG00000178404,-0.0430906982815701,-0.0568277447811002,0.0004788878663814,3773,CEP295NL,protein-coding
ENSG00000166707,-0.0207915480642356,-0.0294417331713494,0.0706432065739312,3771,ZCCHC18,protein-coding
ENSG00000113430,0.0196181909911664,0.0257386099655441,0.114036714556117,3771,IRX4,protein-coding
ENSG00000005513,0.0007036782120811,0.0009734849331007,0.9523717211970948,3767,SOX8,protein-coding
ENSG00000139549,-0.0228535199663499,-0.0258070631083239,0.1133168385752973,3766,DHH,protein-coding
ENSG00000169181,-0.0205549045754465,-0.0344530370096306,0.0345675652280083,3763,GSG1L,protein-coding
ENSG00000198125,-0.0161853669044955,-0.0333793735647478,0.0406366077033662,3762,MB,protein-coding
ENSG00000232070,-0.0134260855403342,-0.0388955870559765,0.0170872785943663,3759,TMEM253,protein-coding
ENSG00000143954,-7.249787723941923e-33,-5.224022425764742e-16,0.9999999999999744,3754,REG3G,protein-coding
ENSG00000016082,-0.0300481552961178,-0.0708656420117766,1.390413651808072e-05,3753,ISL1,protein-coding
ENSG00000101282,-0.0204872518833054,-0.036316117288436,0.0261557750074309,3750,RSPO4,protein-coding
ENSG00000131142,-0.0135296383761303,-0.0826826043431283,3.987084443822758e-07,3749,CCL25,protein-coding
ENSG00000102230,0.0008171870234817,0.0017842395483892,0.9130813898193612,3745,PCYT1B,protein-coding
ENSG00000197889,-0.0040448874262491,-0.0056230023566939,0.7309880547902832,3741,MEIG1,protein-coding
ENSG00000127530,0.0170826140897834,0.0537422031982407,0.0010172536218123,3735,OR7C1,protein-coding
ENSG00000204978,-0.0335041068562316,-0.0510533322612164,0.001801784860849,3735,ERICH4,protein-coding
ENSG00000183248,-0.0104461533060935,-0.0220974159960045,0.1769555010153802,3735,PRR36,protein-coding
ENSG00000274512,-0.0216233746552292,-0.0504397808423026,0.0020540711339274,3732,TBC1D3L,protein-coding
ENSG00000138347,-0.0095678782200079,-0.0148950788911334,0.3630517048496522,3731,MYPN,protein-coding
ENSG00000160401,0.0316690408768463,0.0481783543278861,0.0032654788233866,3726,CFAP157,protein-coding
ENSG00000176490,0.0207232327262549,0.0372702914725661,0.0229217554565507,3725,DIRAS1,protein-coding
ENSG00000053702,-0.0147363055991832,-0.0239426026279721,0.1440147464379734,3725,NRIP2,protein-coding
ENSG00000111049,-0.0242606698599876,-0.0178144313791151,0.2770431840714211,3725,MYF5,protein-coding
ENSG00000111012,-0.0072216633541675,-0.0114648861657955,0.4843432907574261,3723,CYP27B1,protein-coding
ENSG00000124140,-0.0057851706576127,-0.0123191816064919,0.452504560028437,3721,SLC12A5,protein-coding
ENSG00000137860,-0.0168800054308554,-0.029467341803286,0.0725193970903791,3715,SLC28A2,protein-coding
ENSG00000187980,-0.0344556221565805,-0.0644439945387048,8.489364488749685e-05,3714,PLA2G2C,protein-coding
ENSG00000004948,0.0287117369550299,0.0255871792600373,0.1189775738538709,3714,CALCR,protein-coding
ENSG00000168333,-0.0832856846360001,-0.0853247024539336,1.926909120739975e-07,3712,PPDPFL,protein-coding
ENSG00000224940,0.0200016053950167,0.0194528075309693,0.2361840138855074,3710,PRRT4,protein-coding
ENSG00000165182,-0.018993457304245,-0.0340930913726814,0.0379767581716089,3705,CXorf58,protein-coding
ENSG00000134817,0.0139096558928685,0.0158917141709008,0.3342417599360119,3694,APLNR,protein-coding
ENSG00000197403,0.0048550138107907,0.0076112983852297,0.6437573581536689,3694,OR6N1,protein-coding
ENSG00000283297,-0.0058508952354617,-0.0075680823398049,0.6457305642069358,3692,TEX52,protein-coding
ENSG00000101542,-0.0126326795631321,-0.023918534885317,0.1462099602583461,3692,CDH20,protein-coding
ENSG00000152936,0.017047616022708,0.0247988495403608,0.1319797274608583,3691,LMNTD1,protein-coding
ENSG00000187372,0.0025667022568292,0.0043031070728934,0.7939108203423221,3688,PCDHB13,protein-coding
ENSG00000102904,-0.0036326767902088,-0.0056359546657268,0.7323412834104195,3685,TSNAXIP1,protein-coding
ENSG00000100031,0.0025345716428181,0.0051407331453249,0.7551673000612668,3682,GGT1,protein-coding
ENSG00000136449,-0.0057679778724659,-0.0093303998989074,0.5714569791209287,3681,MYCBPAP,protein-coding
ENSG00000242173,-0.001268398413606,-0.0285628991955318,0.0831888369910255,3680,ARHGDIG,protein-coding
ENSG00000144821,0.0147515016046031,0.0271131008367557,0.1000717958649737,3680,MYH15,protein-coding
ENSG00000215472,0.0223612586433339,0.0340288929267291,0.0393201424122408,3668,RPL17-C18orf32,protein-coding
ENSG00000177752,0.0147841005880817,0.0193723581721578,0.2408046379057193,3668,YIPF7,protein-coding
ENSG00000274570,0.0043456688536298,0.0062542358238482,0.7049815195485087,3667,SPDYE10,protein-coding
ENSG00000228672,0.0211419808418268,0.0267174286215231,0.1057896793946308,3666,PROB1,protein-coding
ENSG00000240403,-0.0244143051454849,-0.0459610974377369,0.0053800489672681,3666,KIR3DL2,protein-coding
ENSG00000189120,-0.0542331204080444,-0.0816274168415524,7.514968583558934e-07,3664,SP6,protein-coding
ENSG00000204851,0.0056373410413473,0.0089154206641269,0.5899585592130381,3656,PNMA8B,protein-coding
ENSG00000086288,-0.0505762329153243,-0.059303600171449,0.0003380130167292,3649,NME8,protein-coding
ENSG00000135697,-0.0368474431556007,-0.0722427026574515,1.2563329952910427e-05,3648,BCO1,protein-coding
ENSG00000162490,-0.0210192726059548,-0.0190444500163405,0.2502213517866901,3647,DRAXIN,protein-coding
ENSG00000169203,0.003043178742448,0.0426872726857548,0.009931857525602,3647,NPIPB12,protein-coding
ENSG00000113248,0.0240245607428786,0.023622118255283,0.1539065434679517,3645,PCDHB15,protein-coding
ENSG00000122711,-0.0375383697936859,-0.0707608455488318,1.902821618263822e-05,3645,SPINK4,protein-coding
ENSG00000107014,0.0046665364975825,0.0070168736465986,0.6719762002138872,3644,RLN2,protein-coding
ENSG00000228049,0.0119017350813861,0.0383804627793344,0.0205603416087509,3641,POLR2J2,protein-coding
