gene,slope_z,r,p,n_cells_expr
ENSG00000158731,0.02264699988921536,0.021218387589929222,0.7026992058549766,326
ENSG00000158747,-0.022193287564608255,-0.03136760666085823,1.749101255693993e-18,78176
ENSG00000158748,0.022004906458575575,0.02316232401841976,0.5051658039698191,830
ENSG00000158764,-0.0049098082034084905,-0.020416780619884955,0.4870595473281514,1161
ENSG00000158769,-0.013916469557346786,-0.022107047792336368,1.2166794163208577e-09,75574
ENSG00000158773,-0.020582144257798248,-0.027554141808692072,4.844594422552553e-10,51007
ENSG00000158786,-0.02065038127684184,-0.03012681200490068,0.14566324774998815,2334
ENSG00000158792,-0.020216181973070006,-0.030863191501187808,3.558366170687545e-11,46008
ENSG00000158793,-0.01920662065985991,-0.031044342387512504,8.166571901675527e-16,67238
ENSG00000158796,-0.019867574724314975,-0.027181669236209245,3.8089697466530316e-14,77480
ENSG00000158805,-0.026932553207701805,-0.04085841836721641,1.160147129612306e-29,76573
ENSG00000158806,-0.014497212314608455,-0.03152552585651012,0.0022041158126160417,9427
ENSG00000158813,0.0031566248125515922,0.00441894644016261,0.2886946608794991,57650
ENSG00000158815,0.002087737519524239,0.0035650570665926315,0.9289528724475055,628
ENSG00000158816,-0.010432384890700678,-0.02232858775306538,0.2532434701736796,2620
ENSG00000158825,-0.04826385155248823,-0.05682533877572465,3.5813839879695675e-45,61507
ENSG00000158828,-0.01496378324044257,-0.011618267133090818,0.00019738931199615205,102643
ENSG00000158850,-0.016728433633744023,-0.018543112001465977,4.711981674243478e-06,60923
ENSG00000158856,0.044042004275041194,0.018132461418679652,0.0006703343553821251,35186
ENSG00000158859,0.011852361398369758,0.012364194030596482,0.024536730870798527,33075
ENSG00000158863,-0.021989626750923627,-0.03418314091787066,6.827534113684986e-14,48000
ENSG00000158864,-0.0265130722771712,-0.037123557453982124,1.0147275530176367e-53,172659
ENSG00000158865,-0.024696304136189225,-0.029702450211077498,0.006930384490976161,8263
ENSG00000158869,-0.013053900080879264,-0.014798070119990387,6.994298398881072e-07,112404
ENSG00000158874,-0.005836558746509325,-0.01465732842726645,0.577455798362359,1447
ENSG00000158882,-0.01758084738939413,-0.02953259609380967,3.745749317804219e-05,19481
ENSG00000158887,-0.05261299822610698,-0.07492135574984429,7.202718446795179e-10,6747
ENSG00000158901,-0.001317097622895549,-0.0039922002206209985,0.9244324505369106,567
ENSG00000158941,-0.020314545688481664,-0.029225841456820147,9.36883554075679e-14,64946
ENSG00000158955,0.010759379136147837,0.013838479634848792,0.5284806716660677,2077
ENSG00000158966,0.01747002390541849,0.021137866392630884,1.6696889920880583e-09,81284
ENSG00000158985,-0.009846880485209404,-0.014180768875104683,4.368388396027481e-15,305930
ENSG00000158987,-0.022419606528925523,-0.03827255019049278,1.5956813863742232e-17,49523
ENSG00000159023,-0.0024818523457927656,-0.00212395840072702,0.28610495206838754,252232
ENSG00000159055,-0.006694426350496993,-0.010484356167367101,0.046630705708309905,36014
ENSG00000159063,-0.012474117788624466,-0.018332191512503558,7.981860040910659e-07,72482
ENSG00000159069,-0.025984857898323874,-0.0372375895542165,1.2614943337361477e-46,148162
ENSG00000159079,-0.01026219904394114,-0.015139953544167122,1.479508651023558e-05,81853
ENSG00000159082,-0.021848549334756315,-0.03014796201714456,2.7563526585393714e-23,108685
ENSG00000159086,-0.01535854131753481,-0.021255632539268716,3.4260115739146477e-17,157298
ENSG00000159110,-0.013163031371047988,-0.018801890838232985,2.0621569093751344e-07,76292
ENSG00000159111,-0.02293375770445321,-0.03571856110209978,1.6367105415013163e-23,78223
ENSG00000159128,-0.0020916212989803063,-0.0026520379703453964,0.2143666678815828,219200
ENSG00000159131,-0.010515099179060825,-0.014497351522858866,8.513876575062786e-07,115314
ENSG00000159140,-0.013850613115165906,-0.019117381222128037,2.6156052056612985e-32,383092
ENSG00000159147,-0.007377341749579776,-0.010835392040503003,0.039208653444881524,36215
ENSG00000159164,-0.009588859312123674,-0.01715969079663419,0.13651254339837424,7530
ENSG00000159166,-0.010968637382865397,-0.019467006382158997,0.00014976689175138166,37928
ENSG00000159167,0.05981843435432776,0.07149981203306977,7.195679811056796e-16,12700
ENSG00000159173,-0.013861994566508853,-0.026723473281519982,0.19493645802457632,2354
ENSG00000159176,-0.027630083644786734,-0.04194798061779864,3.0087970609575055e-46,115752
ENSG00000159182,-0.04328909007504302,-0.08716017848661944,1.6325100839040463e-10,5361
ENSG00000159184,-0.03412482297004451,-0.11746460361653163,8.186010316666839e-10,2717
ENSG00000159186,0.008503504564934157,0.050823023584225614,0.08148410509806009,1176
ENSG00000159189,-0.0041259904967586485,-0.007988184411613593,0.13643921605355946,34755
ENSG00000159197,0.012766957675303817,0.026857703434030968,0.3737282510702029,1099
ENSG00000159199,-0.03975932078994524,-0.05573367402959741,9.602057894799833e-131,190263
ENSG00000159200,0.014634180146882376,0.01989372049352055,3.800732133880594e-06,53971
ENSG00000159202,-0.01639650641473851,-0.022451245837753476,1.3268124880291291e-17,144700
ENSG00000159208,-0.012478053759564203,-0.01943048589332535,0.11959708614005607,6418
ENSG00000159210,-0.026576697154158946,-0.03349671314921415,5.071098158685907e-43,168416
ENSG00000159212,0.009378856233496224,0.013627313676773483,0.021108160271632388,28636
ENSG00000159214,-0.008249691403122572,-0.013658365020077782,0.07235994651199418,17308
ENSG00000159216,-0.008712398456934898,-0.01133978315758066,6.8784059593896985e-09,261038
ENSG00000159217,0.0014618982929590627,0.0019292786970064775,0.9426894686516055,1391
ENSG00000159224,-0.021157201138026088,-0.028326229135787463,0.549841097061826,448
ENSG00000159228,-0.024145309344309914,-0.03512794898060302,1.3523105156399153e-29,103369
ENSG00000159231,-0.011599798878213075,-0.014648332972974371,0.0003881589312814338,58663
ENSG00000159239,0.0015170523285190445,0.0024250957418536197,0.9099829096811,2176
ENSG00000159247,0.011808017932753833,0.02394191268246962,0.014951698140014994,10331
ENSG00000159248,0.0,0.0,1.0,133
ENSG00000159251,-0.006316373421761876,-0.020651794747483763,0.2727699886742568,2822
ENSG00000159256,-0.00599163249266291,-0.007901945727784536,0.00046674541324770436,196087
ENSG00000159259,-0.0011760766898268112,-0.0017717924504711037,0.8075924874559248,18895
ENSG00000159261,-0.018681079352629675,-0.029483553791451456,0.028703761902314013,5505
ENSG00000159263,0.04663907978230707,0.056090192109057996,1.5562416761152133e-09,11574
ENSG00000159267,-0.011083383030809354,-0.016445392823243855,2.1959025843817927e-08,115768
ENSG00000159289,-5.435065651975861e-33,-1.9581887067281774e-16,0.9999999999999982,127
ENSG00000159307,-0.024010330288210653,-0.04328216862219291,0.00017318603706741796,7523
ENSG00000159314,-0.023043582669754904,-0.032504507065095646,9.694823653232333e-21,82514
ENSG00000159322,-0.014311318081605677,-0.020010950416250402,6.5825654866713076e-15,151604
ENSG00000159335,-5.652299717266723e-05,-6.31278892593073e-05,0.9788132469644293,176976
ENSG00000159337,-0.00808136177689452,-0.010627562140616394,0.6313373705516323,2041
ENSG00000159339,-0.07252196694052275,-0.0765154117150569,1.7974966180437838e-44,33334
ENSG00000159346,0.00030438892444631073,0.00022687360492368007,0.9249103954720258,172585
ENSG00000159348,-0.016887380156452542,-0.021633379444166892,5.3685712163857245e-11,91942
ENSG00000159352,-0.029119968206063905,-0.03544889925313767,1.3213941686388748e-54,192598
ENSG00000159363,-0.018784537535278294,-0.030286234096844864,1.8655429767583178e-11,49156
