gene,slope_z,r,p,n_cells_expr,gene_symbol
ENSG00000237099,0.0,0.0,1.0,48,GYG1P2
ENSG00000224144,0.0,0.0,1.0,48,ASH2LP1
ENSG00000249730,0.0,0.0,1.0,48,OR10J4
ENSG00000258739,0.0,0.0,1.0,48,ENO1P2
ENSG00000276040,0.0,0.0,1.0,48,SPATA31A7
ENSG00000213148,0.0,0.0,1.0,48,JPT1P1
ENSG00000260598,0.0,0.0,1.0,48,FRG2IP
ENSG00000255951,0.0980436486210681,0.1710341362720947,0.2451084725500916,48,IFT57P1
ENSG00000271419,0.0,0.0,1.0,48,LOC100421116
ENSG00000199370,-0.0068208577012238,-0.0171576101932436,0.9078535029998742,48,LOC124901859
ENSG00000269931,0.0,0.0,1.0,48,LOC102606466
ENSG00000237475,-0.0079440583576981,-0.0436091415211872,0.7685218878400104,48,RPL7P53
ENSG00000274493,0.0,0.0,1.0,48,MRPS17P5
ENSG00000217372,0.0,0.0,1.0,48,TUBB4BP7
ENSG00000199177,0.0,0.0,1.0,48,MIR31
ENSG00000227343,0.0,0.0,1.0,48,RPL15P1
ENSG00000222998,0.0,0.0,1.0,47,RN7SKP259
ENSG00000258206,0.0370937985657436,0.0587573030913036,0.6948276616773942,47,LOC100129589
ENSG00000239253,0.0,0.0,1.0,47,RPS4XP23
ENSG00000252943,0.13670610295997,0.1249073781417558,0.4028475544450346,47,RNU6-264P
ENSG00000235686,0.0042766482409243,0.0049944252228606,0.9734208154767992,47,PPIAP20
ENSG00000223096,0.0,0.0,1.0,47,RNU5E-9P
ENSG00000253467,0.0,0.0,1.0,47,IGHV7-40
ENSG00000254841,0.0,0.0,1.0,47,OR4V1P
ENSG00000214668,0.0977122934097961,0.1301845611453203,0.3831060497798304,47,SLC29A4P1
ENSG00000257787,0.0,0.0,1.0,47,LOC124903074
ENSG00000176900,0.0,0.0,1.0,47,OR51T1
ENSG00000263716,0.0,0.0,1.0,47,SLC25A51P2
ENSG00000231487,0.0,0.0,1.0,47,LOC124902609
ENSG00000231491,0.0,0.0,1.0,47,JKAMPP1
ENSG00000227922,0.0121776021506135,0.0259978772735303,0.8622880466837914,47,SPTLC1P5
ENSG00000201182,-0.0096355077349136,-0.066027332860131,0.6592468394404778,47,RNU6-670P
ENSG00000214759,0.0,0.0,1.0,47,RPL36AP2
ENSG00000284154,0.026003206587507,0.0296060196720291,0.8433999778391422,47,MIR3605
ENSG00000231804,0.0,0.0,1.0,47,RPL21P85
ENSG00000243129,-0.0124352071838981,-0.0358997472922346,0.8106666465366854,47,RPS26P46
ENSG00000252770,0.0475381507357106,0.0816935295350614,0.5851379098550437,47,RNU7-4P
ENSG00000254541,0.0,0.0,1.0,47,MRGPRX6P
ENSG00000247993,-0.1128827797921268,-0.1785601285822928,0.2298044136199766,47,FOXD1-AS1
ENSG00000249861,0.0037923589490359,0.0138053114806654,0.92661841644225,47,LGALS16
ENSG00000240519,0.0405441997974883,0.0630421230390702,0.6737724429139993,47,RPLP1P9
ENSG00000227243,0.0,0.0,1.0,47,SLAMF6P1
ENSG00000241014,0.0,0.0,1.0,47,GPR199P
ENSG00000256750,0.0,0.0,1.0,47,LINC02423
ENSG00000253481,0.0,0.0,1.0,47,IGKV1OR22-1
ENSG00000258104,0.0,0.0,1.0,47,HIGD1AP9
ENSG00000239288,0.0,0.0,1.0,47,BRD7P7
ENSG00000220666,0.032775262172989,0.0772473394062427,0.6057894748370296,47,RCC2P7
ENSG00000123569,0.0783799783897392,0.1888999817453417,0.2034990274453452,47,H2BW1
ENSG00000234950,0.0,0.0,1.0,47,RBMY2OP
ENSG00000235710,0.0,0.0,1.0,47,TRIM67-AS1
ENSG00000231514,0.0,0.0,1.0,47,CCNQP2
ENSG00000275953,-0.0016491253324033,-0.0101377728681879,0.9460791746409372,47,YAP1P3
ENSG00000224948,0.0,0.0,1.0,47,ATP5MC1P8
ENSG00000234201,0.143756199759626,0.1695308654586592,0.2546121457575448,47,BMI1P1
ENSG00000255855,-0.0039469139900377,-0.0307369822468568,0.8374969175501334,47,KDM4F
ENSG00000238840,0.1288438977205104,0.1488090949602976,0.3181412430698853,47,U8
ENSG00000234421,0.0,0.0,1.0,47,SLC25A5P4
ENSG00000253823,0.0,0.0,1.0,47,IGLV1-62
ENSG00000207119,-0.0687837711363378,-0.0797310376366854,0.5942142894574988,47,LOC124903594
ENSG00000233751,0.0,0.0,1.0,47,RRAS2P2
ENSG00000224955,0.0,0.0,1.0,47,KCTD10P1
ENSG00000236875,0.0473194824228201,0.1169821662548739,0.433575487251966,47,DDX11L5
ENSG00000206983,0.0,0.0,1.0,47,RNU6-49P
ENSG00000252373,0.0224932105251184,0.0356357956646873,0.8120334461719425,47,RNU6-358P
ENSG00000146385,0.0,0.0,1.0,47,TAAR8
ENSG00000215351,-0.0026124774542574,-0.0065221004024787,0.9652952541908076,47,PPIAP1
ENSG00000248618,0.0,0.0,1.0,47,ENPP7P3
ENSG00000238965,0.0,0.0,1.0,47,RNA5SP351
ENSG00000255181,-0.0295568315465032,-0.0492529429271297,0.742330767232634,47,CCDC166
ENSG00000235942,0.0,0.0,1.0,47,LCE6A
ENSG00000260187,0.0,0.0,1.0,47,PPIAP48
ENSG00000237449,0.0,0.0,1.0,47,TAAR4P
ENSG00000199286,-0.0191204486516527,-0.0610384678482992,0.683588688179952,47,RNU6-1094P
ENSG00000201448,0.0,0.0,1.0,47,SNORA63C
ENSG00000231032,0.0,0.0,1.0,47,CEP19P1
ENSG00000248447,0.0,0.0,1.0,47,LOC100533670
ENSG00000201782,0.007257207952908,0.0176098506326492,0.9064755807724144,47,RN7SKP226
ENSG00000172489,0.0,0.0,1.0,47,OR5T3
ENSG00000259110,0.0,0.0,1.0,47,LINC02304
ENSG00000252516,0.1093800149112311,0.1099439024341802,0.4619281055734346,47,RNA5SP82
