NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_DENTATE_GYRUS_DEVELOPMENT	GOBP_DENTATE_GYRUS_DEVELOPMENT		24	0.19226058	1.1166852	0.30871212	0.5697778	1.0	10261	tags=75%, list=56%, signal=169%	
GOBP_IMMATURE_B_CELL_DIFFERENTIATION	GOBP_IMMATURE_B_CELL_DIFFERENTIATION		15	0.2383508	1.116625	0.30174083	0.5692802	1.0	12784	tags=93%, list=70%, signal=306%	
GOBP_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR	GOBP_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR		23	0.19244245	1.1165134	0.30661324	0.5688694	1.0	13256	tags=91%, list=72%, signal=327%	
GOBP_ATRIAL_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT	GOBP_ATRIAL_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT		22	0.19605662	1.1164858	0.32924336	0.5683308	1.0	8101	tags=64%, list=44%, signal=114%	
GOBP_BILE_ACID_METABOLIC_PROCESS	GOBP_BILE_ACID_METABOLIC_PROCESS		49	0.13754536	1.1158259	0.30769232	0.56898415	1.0	5358	tags=43%, list=29%, signal=60%	
GOBP_PRE_MIRNA_PROCESSING	GOBP_PRE_MIRNA_PROCESSING		16	0.2310034	1.1157031	0.3010101	0.56863475	1.0	10697	tags=81%, list=58%, signal=194%	
GOBP_NEGATIVE_REGULATION_OF_POTASSIUM_ION_TRANSPORT	GOBP_NEGATIVE_REGULATION_OF_POTASSIUM_ION_TRANSPORT		30	0.17130695	1.1153764	0.2992126	0.5686341	1.0	3597	tags=37%, list=20%, signal=46%	
GOBP_REGULATION_OF_FEEDING_BEHAVIOR	GOBP_REGULATION_OF_FEEDING_BEHAVIOR		28	0.17496364	1.1134813	0.3122449	0.5715359	1.0	4668	tags=43%, list=25%, signal=57%	
GOBP_CARDIAC_MUSCLE_CONTRACTION	GOBP_CARDIAC_MUSCLE_CONTRACTION		148	0.07836699	1.1124932	0.3159923	0.572779	1.0	4534	tags=32%, list=25%, signal=43%	
GOBP_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN	GOBP_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN		26	0.18621545	1.111369	0.33066133	0.57426864	1.0	6482	tags=54%, list=35%, signal=83%	
GOBP_NEUROTROPHIN_TRK_RECEPTOR_SIGNALING_PATHWAY	GOBP_NEUROTROPHIN_TRK_RECEPTOR_SIGNALING_PATHWAY		26	0.18091692	1.110813	0.31150794	0.5746964	1.0	7994	tags=62%, list=43%, signal=109%	
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS		77	0.109949246	1.1096163	0.31556502	0.57641816	1.0	7778	tags=53%, list=42%, signal=92%	
GOBP_GASTRULATION	GOBP_GASTRULATION		191	0.067702085	1.1086428	0.30056712	0.5776154	1.0	12536	tags=75%, list=68%, signal=233%	
GOBP_REGULATION_OF_AXON_EXTENSION	GOBP_REGULATION_OF_AXON_EXTENSION		82	0.10582025	1.1086144	0.31189084	0.5770788	1.0	8827	tags=59%, list=48%, signal=112%	
GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION	GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION		25	0.18449308	1.1072956	0.34226805	0.57893056	1.0	3967	tags=40%, list=22%, signal=51%	
GOBP_AMINE_TRANSPORT	GOBP_AMINE_TRANSPORT		88	0.09979363	1.1068681	0.314346	0.5791108	1.0	6950	tags=48%, list=38%, signal=76%	
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEOLUS	GOBP_PROTEIN_LOCALIZATION_TO_NUCLEOLUS		20	0.20941976	1.1062844	0.31669867	0.5795266	1.0	9945	tags=75%, list=54%, signal=163%	
GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION		63	0.11811318	1.1061403	0.32987553	0.5792149	1.0	6008	tags=44%, list=33%, signal=66%	
GOBP_NEGATIVE_REGULATION_OF_GLIOGENESIS	GOBP_NEGATIVE_REGULATION_OF_GLIOGENESIS		43	0.14226379	1.1056943	0.31936127	0.5794541	1.0	5515	tags=44%, list=30%, signal=63%	
GOBP_RESPONSE_TO_VITAMIN	GOBP_RESPONSE_TO_VITAMIN		87	0.10039009	1.1053632	0.30769232	0.5794658	1.0	8731	tags=57%, list=47%, signal=109%	
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS		107	0.09372219	1.1041788	0.3460722	0.5810138	1.0	10145	tags=64%, list=55%, signal=143%	
GOBP_NEURON_PROJECTION_EXTENSION_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE	GOBP_NEURON_PROJECTION_EXTENSION_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE		21	0.20393239	1.1027764	0.31007752	0.5829322	1.0	13768	tags=95%, list=75%, signal=378%	
GOBP_REGULATION_OF_MULTICELLULAR_ORGANISM_GROWTH	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISM_GROWTH		67	0.11437084	1.1026253	0.33069307	0.5826137	1.0	7785	tags=54%, list=42%, signal=93%	
GOBP_SYNAPTONEMAL_COMPLEX_ORGANIZATION	GOBP_SYNAPTONEMAL_COMPLEX_ORGANIZATION		28	0.17220189	1.099801	0.31384015	0.587311	1.0	7346	tags=57%, list=40%, signal=95%	
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY	GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY		56	0.12741736	1.0979267	0.3273453	0.59012735	1.0	9814	tags=66%, list=53%, signal=141%	
GOBP_NEGATIVE_REGULATION_OF_KERATINOCYTE_PROLIFERATION	GOBP_NEGATIVE_REGULATION_OF_KERATINOCYTE_PROLIFERATION		23	0.18888238	1.0973419	0.33669356	0.5906208	1.0	14121	tags=96%, list=77%, signal=411%	
GOBP_CLATHRIN_DEPENDENT_ENDOCYTOSIS	GOBP_CLATHRIN_DEPENDENT_ENDOCYTOSIS		50	0.13287169	1.0966331	0.3401222	0.5913555	1.0	15953	tags=100%, list=87%, signal=752%	
GOBP_REGULATION_OF_NUCLEOTIDE_EXCISION_REPAIR	GOBP_REGULATION_OF_NUCLEOTIDE_EXCISION_REPAIR		29	0.17170392	1.0963787	0.32617188	0.59121805	1.0	14603	tags=97%, list=79%, signal=468%	
GOBP_REGULATION_OF_MONOCYTE_DIFFERENTIATION	GOBP_REGULATION_OF_MONOCYTE_DIFFERENTIATION		19	0.20745242	1.0958554	0.35091278	0.5915905	1.0	8771	tags=68%, list=48%, signal=131%	
GOBP_COLLATERAL_SPROUTING	GOBP_COLLATERAL_SPROUTING		32	0.16258545	1.0955251	0.33333334	0.59159714	1.0	3336	tags=34%, list=18%, signal=42%	
GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS		25	0.18567134	1.0944905	0.33992094	0.5929547	1.0	4681	tags=44%, list=25%, signal=59%	
GOBP_PROTEIN_LOCALIZATION_TO_CILIUM	GOBP_PROTEIN_LOCALIZATION_TO_CILIUM		75	0.109903954	1.0941437	0.3249476	0.5929771	1.0	16377	tags=100%, list=89%, signal=909%	
